Ca,Na,Si,K,Mg,F-,Cl-,Br-,SO-,Li,Be,B,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Mo,Cd,Sb,Cs,Ba,Pb,pH
8284.835815,32140.88745,89.39803541,4662.506962,120.3595608,16.21,65941.56,187.03,154.91,194.7831519,0.037332258,43.42063459,0.024415342,0.001274411,0.001723295,30.24642817,31.92269261,0.004732711,0.003657783,0.004586471,9.144489742,0.001230968,13.71753605,28.67037292,447.9417995,0.003287072,0.004912377,0.03439868,0.19374372,17.79266942,34.92384443,0.81497511,5.16
6994.970512,32172.72034,1.505303895,4468.809986,1.18224076,12.94,63745.67,180.39,137.28,193.7617361,0.0001,39.33416304,0.0005,0.001261916,0.001510935,0.049117188,0.055447229,0.000461383,0.002321161,0.003269966,3.092692168,2.50E-06,0.833819455,29.07431019,439.8702486,0.003096506,0.003990035,0.000594285,0.020873851,17.9755499,34.51054088,0.201017738,10.45
7138.801575,30763.97095,20.11921406,4328.26395,66.48318619,13.25,61814.63,175.77,110.68,184.2603597,0.0001,37.67539248,0.0005,0.001558875,0.001740448,1.03149596,0.062405021,0.0004459,0.002860933,0.004403563,2.655307736,2.50E-06,6.385130514,27.57923465,418.4620661,0.003096281,0.003953555,0.012225022,0.017001569,17.09724217,31.74354304,0.007913513,8.42
5023.3675,36633.76465,1.223630039,4623.696041,3.585140314,12.53,64478.53,183.83,122.49,202.8296166,0.0001,38.760898,0.017810767,0.001229665,0.001807593,0.010082237,0.047192686,0.000388317,0.00264723,0.013288045,2.185380169,2.00E-06,1.288836423,29.33616703,449.3727154,0.003012778,0.004059174,0.001674686,0.007149773,17.61076149,34.49338702,0.05333746,10.49
7291.392517,30676.0437,59.28885341,4388.703918,107.6331854,13.72,61968.53,175.04,114.65,196.9880118,0.0001,45.57231954,0.02317692,0.001173269,0.002066001,17.3337237,0.31017825,0.002687543,0.008072057,0.008019127,3.133564186,0.000618371,11.06509769,30.23543136,462.6815059,0.003012587,0.004658228,0.030331116,0.091183294,17.49020157,34.30259911,0.01491929,7.24
8264.2313,32337.37793,87.19977736,4668.415833,118.3302909,16.17,66394.54,182.54,145.67,192.2682266,0.030087162,44.66166279,0.016368621,0.001411983,0.002612901,30.69385271,31.60716998,0.004727025,0.007717741,0.007575943,9.088845146,0.001077491,13.65148848,29.21759951,451.0706909,0.003388613,0.004255688,0.0341441,0.206446332,17.9260012,35.12712174,0.690782829,6
8109.264565,31487.48703,83.03117752,4550.198364,115.9224272,16.22,64537.4,182.4,142.23,189.5638743,0.026364852,42.8039377,0.0005,0.001714361,0.003942659,28.22505461,26.41536936,0.004619399,0.007560498,0.006063753,8.923438041,0.000859503,12.78560786,28.18951652,437.5467906,0.003140327,0.005328591,0.033770132,0.188958879,17.71206062,34.33576959,0.645982325,6.06
8234.776497,32234.79538,84.12230909,4665.791988,116.9597536,16.04,65225.39,183.52,142.87,206.7195162,0.024477723,45.28918763,0.020042291,0.001191189,0.002142409,30.5725804,31.33480596,0.004830454,0.006206977,0.006955696,8.793584536,0.001032389,14.18256858,29.84276924,467.8443194,0.003242589,0.004297102,0.035215607,0.207660821,17.70185714,35.71149732,0.631573617,6.77
8412.245178,33083.33817,80.06308079,4724.442959,119.4916964,16.11,66806.89,190.68,147.16,205.6833022,0.007439413,45.64263964,0.019583087,0.001130551,0.002025308,29.52888397,11.60432845,0.00478654,0.006288162,0.006279064,7.767369325,0.000941611,11.95689694,30.33516058,473.235646,0.003140865,0.004347606,0.035867275,0.185555109,17.98539157,36.33871237,0.217372887,6.39
7011.698914,29379.90417,64.13875669,4210.037899,103.3852816,14.24,65141.03,186.32,121.35,194.4507098,0.0001,43.97306704,0.0005,0.001447824,0.002231256,16.39360658,8.573648823,0.002117257,0.00552752,0.006006683,3.886219667,0.000568874,12.0312898,28.79366397,437.0605788,0.003342334,0.00432957,0.029590748,0.075276685,18.03117784,33.7793254,0.069051568,7.05
6788.997459,27975.31128,60.45973152,4023.329258,102.5392056,13.75,63855.13,179.71,126.59,206.9816327,0.0001,45.83398398,0.015444683,0.00114951,0.002187169,17.90123583,1.957474922,0.003253037,0.006254974,0.006463721,3.547496939,0.000762854,11.57551119,29.55780847,463.9451023,0.003179035,0.004748782,0.032528053,0.124536611,18.12893205,35.7795629,0.037244557,6.83
7377.182579,27086.92932,74.73351806,3987.203979,108.5860223,16.02,62309.81,173.16,137.27,189.1805499,0.037195426,45.5340796,0.030315885,0.001098189,0.001202696,30.13635801,33.60728697,0.004750637,0.004331729,0.005302671,10.92782653,0.000917843,13.3884079,28.80938353,451.1168912,0.003170763,0.004199681,0.03400583,0.205086139,17.02829057,34.51549663,0.932391859,5.56
7883.296394,28266.63895,79.01643813,4141.615391,115.4455304,16.13,63577.98,175.56,138.56,198.8016028,0.038869892,47.48777611,0.05029596,0.001202374,0.001683297,32.46486649,36.10433521,0.005076982,0.005169348,0.007737119,10.54781956,0.000866292,14.33942127,30.47189054,480.0293353,0.003260554,0.005338918,0.03521524,0.209879001,18.02789702,36.30097853,0.89358678,5.5
7528.131294,27638.7886,76.3089627,4083.381557,110.9429151,16.08,63649.75,175.42,138.55,196.3921997,0.03623253,44.86970223,0.025837172,0.001084081,0.001875484,31.1562062,34.09875708,0.004881149,0.00443443,0.004956816,10.82867142,0.00094569,14.03764353,29.105135,450.5811846,0.003314315,0.004189163,0.034775481,0.200575266,18.01970964,35.44604058,0.810219488,5.41
7388.642693,27169.44351,73.9537105,3966.357136,107.7239066,16.02,61795.01,170.26,134.91,188.4411582,0.034670414,42.66156992,0.020701187,0.001106495,0.001546684,29.13064536,32.26126213,0.004611478,0.004869457,0.006375178,10.5775843,0.000993129,13.20777218,27.84012738,435.681961,0.00314475,0.004054234,0.033295014,0.194949173,17.69694836,34.10156851,0.759348368,5.73
7090.394783,27877.47803,80.20630181,4052.780056,106.5536231,16.3,64048.76,181.24,144.47,200.761156,0.041379964,47.89361335,0.039261768,0.00136371,0.001313946,32.04549385,34.58243799,0.004949851,0.0039716,0.007471322,8.733693431,0.00122387,14.29197504,30.36570945,473.4418336,0.003360523,0.004437173,0.035377724,0.215288959,17.77237163,36.47892092,0.958286543,5.35
7266.355133,28403.86963,82.42211044,4113.0126,108.3221912,16.37,65155.16,184.41,145.61,197.5600657,0.036289623,45.6266634,0.028045938,0.001102742,0.001810863,32.4354965,35.21398591,0.005029052,0.004783683,0.004901524,11.27750924,0.00103348,14.35423617,29.91942903,455.8283503,0.003354077,0.004419068,0.034624074,0.197866681,18.22312881,35.31925889,0.83930589,5.28
7539.151955,29246.46378,84.80262458,4298.962784,111.6642237,28.56,67214.34,191.78,164.11,202.2730509,0.039307611,46.26604809,0.033600569,0.001644513,0.002196813,32.16826315,34.42809616,0.005038396,0.004455124,0.004333252,8.861144401,0.000986163,14.11155359,30.30041441,474.7777539,0.003878393,0.00582935,0.034888993,0.205897071,19.30991179,37.31235803,0.82026582,5.33
7246.392632,27787.25967,81.33480549,4095.206451,106.910491,16.26,63727.38,180.06,150.98,195.6397109,0.037817573,44.88116625,0.029670074,0.001428808,0.002112119,31.11143707,33.35928204,0.00485015,0.003665399,0.005459264,6.531886742,0.001201577,13.88762432,30.00884056,460.250363,0.003729184,0.004638702,0.03516624,0.205368397,18.8180147,36.6026529,0.807677332,5.45
7329.727364,28799.55368,80.36955893,4174.544621,108.9946032,16.55,64571.04,181.42,151.73,193.6072224,0.036756883,43.69525419,0.021263512,0.001498021,0.001856642,30.59461022,32.10041939,0.004664825,0.004052512,0.004939846,6.400344054,0.001063815,13.59947077,29.23350136,456.0482444,0.003677017,0.004832508,0.034399445,0.203709779,18.2629496,36.63153821,0.835354406,5.76
7447.142601,29175.18311,89.44670856,4302.276707,110.3576571,16.1,63505.41,175.94,140.7,197.8220972,0.038257718,47.05865109,0.15931838,0.001148084,0.002532591,30.72473272,32.72285475,0.005002895,0.005859162,0.052354833,8.92506798,0.000826599,13.75737721,29.70437272,461.4143891,0.003077495,0.004307115,0.033596869,0.214609011,17.22038771,34.97998141,0.886050677,5.48
6963.306427,31039.72092,1.800108841,4336.968613,0.293351314,12.9,63469.65,178.56,130.25,200.6218137,0.0001,41.57314884,0.151815495,0.001304473,0.002630719,0.082683781,0.44841748,0.00058967,0.005476162,0.010151269,2.403369369,3.00E-06,1.379474392,30.2398817,465.9029804,0.003155907,0.004522301,0.000915827,0.01794761,17.40976795,34.32733654,0.13687083,10.53
6811.463356,30768.42041,1.915604621,4267.415714,0.328925613,12.88,61857.29,174.28,124,200.2721112,0.0001,41.72296081,0.209796385,0.001276892,0.002876799,0.092933649,0.558627085,0.000570638,0.004055023,0.008155183,2.333971102,3.00E-06,1.30549215,29.8478199,461.6468675,0.003129123,0.004387171,0.000735424,0.015131401,17.52603048,35.08988385,0.117641233,10.49
6811.371803,32650.44937,1.191110769,4497.014523,0.250430399,12.75,63603.72,181.81,132.01,203.4958339,0.0001,42.0521436,0.148519181,0.0011337,0.003115092,0.084892381,0.442323858,0.000571435,0.004480307,0.011289036,4.160343583,3.00E-06,1.03828226,30.48174628,461.733715,0.00305831,0.004423693,0.000728942,0.012583812,17.15148771,34.34201876,0.20316185,10.49
2704.037189,35857.66068,0.985420612,4325.604343,0.105394985,0,62429.87,176.43,123.56,191.1691047,0.0001,39.75075937,0.178319038,0.00104545,0.002693679,0.102392257,0.498586406,0.000296709,0.003718057,0.010082839,5.092448069,3.00E-06,0.514063691,28.43206654,427.3857975,0.002873317,0.004296384,0.000881531,0.015064889,16.42604363,32.41495853,0.14211158,10.5
